real answer,generated answer,source,annotation group,index,bx reaction score,kc reaction score,ds reaction score,reaction id,gn reaction score
LTC4 [cytosol] (ChEBI: 57973),              \(1\)       \(2\)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,biomedlm,1,0,0.0,0.0,,R-HSA-266050,
"GUCA:Ca2+ [photoreceptor disc membrane] (complex of GUCA1A [photoreceptor disc membrane] (UniProt: P43080), Ca2+ [cytosol] (ChEBI: 29108), GUCA1B [photoreceptor disc membrane] (UniProt: Q9UMX6), GUCA1C [photoreceptor disc membrane] (UniProt: O95843))","![](IJO-60-5-649-g001.jpg)

Enzyme: Q9UMX6){#d35e427} (UniProt:P19367) (UniProt:P19367){#d35e431} (UniProt:Q9UMX6.gif)

![](IJO-60-5-649-g002.jpg)

![](IJO-60-5-649-g003.jpg)

![](IJO-60-5-649-g004.jpg)

![](IJO-60-5-649-g005.jpg)

![](IJO-60-5-649-g006.jpg)

![](IJO-60-5-649-g007){#d35e435} (UniProt: Q9UMX6.gif)

**Source of Support:** This article is a review of the literature search for the role of the mitochondrial genome in the pathogenesis of mitochondrial DNA in the pathogenesis of glaucoma

**Conflict of Interest:**

**Summary:

**Editorial Commentary:

The authors present a novel approach to the diagnosis of the clinical utility of the mitochondrial genome in the development of a novel method for the diagnosis of acute respiratory distress syndrome (mtDNA) in the development of a novel method for the diagnosis of acute respiratory distress syndrome (ARDS in the diagnosis of mitochondrial myopathy.

**Summary:

They have been working in the field of mitochondrial medicine, a rare case of a mitochondrial DNA (mtDNA) in the pathogenesis of acute respiratory distress syndrome (ARDS is a devastating disease of the respiratory system in the diagnosis of the clinical utility of mitochondrial diseases, and the role of the mitochondrial genome in the development of acute respiratory distress syndrome (ChEBI: 17234)

**Summary:

The diagnosis of mitochondrial diseases is a challenge in the ICU, and the use of whole-genome sequencing (WGS) is a useful tool for the detection of mitochondrial DNA (WGS is a rare case of the disease is a",biomedlm,1,1,0.0,0.0,,R-HSA-2586748,
"SUMO-EIF2AK2 dimer [cytosol] (complex of SUMO-EIF2AK2 [cytosol] (UniProt: P19525)), UBE2I [cytosol] (UniProt: P63279)","\[PMID: 23824844

  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",biomedlm,1,2,0.0,0.0,,R-HSA-9834809,
"ACKR2:CCBP2 ligands [plasma membrane] (complex of ACKR2 [plasma membrane] (UniProt: O00590), CCL2 [extracellular region] (UniProt: P13500), CCL3(24-92) [extracellular region] (UniProt: P10147), CCL4(24-92) [extracellular region] (UniProt: P13236), CCL5(24-91) [extracellular region] (UniProt: P13501), CCL7 [extracellular region] (UniProt: P80098), CCL11 [extracellular region] (UniProt: P51671), CCL17 [extracellular region] (UniProt: Q92583), CCL22(25-93) [extracellular region] (UniProt: O00626), CCL3L1(26-93) [extracellular region] (UniProt: P16619))","![](edinbmedj73995-0024){#F1){#F1){#F1){ref-type=""fig""})

:   ![](JCB9802085.jpg)

![](JCB9802085.jpg)

![](JCB9802085.gif)

![](JCB9802085-0017){#F2){#F2a}

![](JCB9802085-0024a){#F2a)

![](JCB9802085-0017a)

![](JCB9802085-0017b)

![](JCB9802085-0017c)

![](JCB9802085-bib-0017){#F2a)

![](JCB9802085-b)

![](JCB9802085-b)

![](JCB9802085-fig3_fn1){#F2a)

![](kjp-53-01-0024-fig3_s1){#F2c)

![](kjp-53-p-53-p-4){#f2){#f2){#f2){#f2){ref-type=""fig""}) and the mitochondrial membrane potential (MMP:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",biomedlm,1,3,0.0,0.0,,R-HSA-443986,
DLGAP5 [cytosol] (UniProt: Q15398),                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,biomedlm,1,4,0.0,0.0,,R-HSA-9018538,
"Ac-K242,K259,K271,K290,K569-FOXO3 [nucleoplasm] (UniProt: O43524), CoA-SH [nucleoplasm] (ChEBI: 57287)","\[FAD, Hexanoyl-CoA (584) and ATP (P06576)

",biomedlm,1,5,0.0,0.0,,R-HSA-9620515,
"EGR1, EGR2,EGR4 [nucleoplasm] (complex of EGR1 [nucleoplasm] (UniProt: P18146), EGR2 [nucleoplasm] (UniProt: P11161), EGR4 [nucleoplasm] (UniProt: Q05215))",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,biomedlm,1,6,0.0,0.0,,R-HSA-9612073,
"p-EPHBs:EFNBs:ITSN1:N-WASP [plasma membrane] (complex of ITSN1 [cytosol] (UniProt: Q15811), N-WASP [cytosol] (UniProt: O00401))","![](http://www.guidetopharmacology-journals.org/cgi-bin/sendsup?hy2248)

N/A)

We thank Dr. J.C.M.

:   *Sample size calculation {#Sec1}
==========================================================================================================================================================================================================================================================================================================================================================================================================================================================",biomedlm,1,7,0.0,0.0,,R-HSA-3928600,
"CISH,SOCS1,SOCS2 [cytosol] (complex of CISH [cytosol] (UniProt: Q9NSE2), SOCS1 [cytosol] (UniProt: O15524), SOCS2 [cytosol] (UniProt: O14508))","![](glasgowmedj75831-0011.tif ""scanned-page/journals-05-00044-fig1_ENREF_11){#sp1 .10){#sp2 .10){#sp2 .10){ref-type=""fig""}[](#fg1){ref-type=""fig""}[^3]

![](jsrm-08-05-10}**\]**

![](jsrm-10-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-",biomedlm,1,8,0.0,0.0,,R-HSA-8983011,
"Chromatin (H3K9me2, 5mC):MBD2 [nucleoplasm] (complex of MBD2 [nucleoplasm] (UniProt: Q9UBB5), HIST1H4 [nucleoplasm] (UniProt: P62805), Me2K10-HIST1H3A [nucleoplasm] (UniProt: P68431), Me2K10-HIST2H3A [nucleoplasm] (UniProt: Q71DI3), Me2K-10-H3F3A [nucleoplasm] (UniProt: P84243))","\[ATP (ChEBI: 45829) and the enzyme: N/A, Me3K27-H3K9me3 (N/A, MBD3 (UniProt: P62805) and \[[@pone.0117995.ref001]\]

The authors confirm that all data underlying the findings in this study are available without restriction.

Introduction {#sec001}
==========================================================================

The authors are grateful to the authors and the journal editors for the data in this study are available upon request.

Introduction {#sec002}
================================================================================================================================================================================================================================================================================================================",biomedlm,1,9,0.0,0.0,,R-HSA-427337,
