reaction id,source,bx reaction score,kc reaction score,ds reaction score,gn reaction score
R-HSA-266050,biomedlm,0.0,0.0,,
R-HSA-2586748,biomedlm,0.0,0.0,,
R-HSA-9834809,biomedlm,0.0,0.0,,
R-HSA-443986,biomedlm,0.0,0.0,,
R-HSA-9018538,biomedlm,0.0,0.0,,
R-HSA-9620515,biomedlm,0.0,0.0,,
R-HSA-9612073,biomedlm,0.0,0.0,,
R-HSA-3928600,biomedlm,0.0,0.0,,
R-HSA-8983011,biomedlm,0.0,0.0,,
R-HSA-427337,biomedlm,0.0,0.0,,
R-HSA-375133,biomedlm,,,0.0,0.0
R-HSA-5228578,biomedlm,,,0.0,0.0
R-HSA-163568,biomedlm,,,0.0,0.0
R-HSA-8849638,biomedlm,,,0.0,0.0
R-HSA-399935,biomedlm,,,0.0,0.0
R-HSA-2179291,biomedlm,,,0.0,0.0
R-HSA-9750016,biomedlm,,,0.0,0.0
R-HSA-8876191,biomedlm,,,0.0,0.0
R-HSA-6805022,biomedlm,,,0.0,0.0
R-HSA-183126,biomedlm,,,0.0,0.0
R-HSA-140777,deepseek,0.0,0.0,,
R-HSA-9859291,deepseek,0.0,0.0,,
R-HSA-6793590,deepseek,0.0,0.0,,
R-HSA-113429,deepseek,0.3875,0.3875,,
R-HSA-9728804,deepseek,0.0,0.0,,
R-HSA-9836322,deepseek,0.5,0.5,,
R-HSA-416929,deepseek,0.5,0.5,,
R-HSA-8932275,deepseek,0.5,0.5,,
R-HSA-2396599,deepseek,0.0,0.25,,
R-HSA-9679029,deepseek,0.0,0.0,,
R-HSA-9697077,deepseek,,,0.0,0.0
R-HSA-9603784,deepseek,,,0.0,0.0
R-HSA-374909,deepseek,,,0.0,0.0
R-HSA-1912415,deepseek,,,0.0,0.0
R-HSA-2065357,deepseek,,,0.0,0.0
R-HSA-2186741,deepseek,,,0.0,0.0
R-HSA-9759549,deepseek,,,0.0,0.0
R-HSA-3965444,deepseek,,,0.0,0.0
R-HSA-8871506,deepseek,,,0.0,0.0
R-HSA-182186,deepseek,,,0.0,0.0
R-HSA-5655347,qwen,0.0,0.0,,
R-HSA-9830461,qwen,0.0,0.0,,
