reaction_id,overall_two,numCorrect_two,overall_one,numCorrect_one,overall_zero,numCorrect_zero
R-HSA-1028817,0.0,0,0.0,0,0.0,0
R-HSA-109530,0.1428571428571428,1,0.0,0,0.0,0
R-HSA-109998,0.0,0,0.0,0,1.0,1
R-HSA-110231,0.0,0,0.0,0,0.0,0
R-HSA-110356,0.0,0,0.0,0,0.0,0
R-HSA-111285,0.0,0,0.0,0,0.0,0
R-HSA-112034,0.75,3,0.0,0,0.0,0
R-HSA-112396,0.0,0,0.0,0,0.0,0
R-HSA-114259,0.0,0,0.0,0,0.8,4
R-HSA-114689,0.0,0,0.0,0,0.0,0
R-HSA-1169188,0.1428571428571428,1,0.1428571428571428,1,0.4285714285714285,3
R-HSA-1183128,0.0,0,0.0,0,0.0,0
R-HSA-1222690,0.0,0,0.0,0,0.0,0
R-HSA-1234165,0.3333333333333333,1,0.3333333333333333,1,0.0,0
R-HSA-1236965,0.0,0,0.0,0,0.0,0
R-HSA-1247960,0.0,0,1.0,2,0.5,1
R-HSA-1251997,1.0,1,0.0,0,0.0,0
R-HSA-1295632,0.1666666666666666,1,0.1666666666666666,1,0.8333333333333334,5
R-HSA-1299487,0.0,0,0.0,0,0.0,0
R-HSA-1362485,0.0,0,0.0,0,0.5,2
R-HSA-139893,0.0,0,0.0,0,0.0,0
R-HSA-140736,0.25,1,0.25,1,0.0,0
R-HSA-141348,0.0,0,0.0,0,0.0,0
R-HSA-1433542,0.5,2,0.5,2,0.25,1
R-HSA-1462039,0.0,0,0.0,0,0.0,0
R-HSA-1475414,0.5,1,0.5,1,0.0,0
R-HSA-1482696,0.0,0,0.0,0,0.0,0
R-HSA-1482907,0.0,0,0.0,0,0.0,0
R-HSA-1483219,0.5,2,0.0,0,0.0,0
R-HSA-1564117,0.5,1,0.5,1,0.5,1
R-HSA-156930,0.0,0,0.0,0,0.0,0
R-HSA-158441,0.0,0,0.0,0,0.0,0
R-HSA-159046,0.0,0,0.0,0,0.0,0
R-HSA-1592297,0.0,0,0.0,0,0.0,0
R-HSA-159796,1.0,1,1.0,1,0.0,0
R-HSA-1604741,0.0,0,0.0,0,0.0,0
R-HSA-1606839,0.5,1,0.0,0,0.5,1
R-HSA-162821,0.0,0,0.0,0,0.0,0
R-HSA-163539,0.0,0,0.0,0,0.0,0
R-HSA-1638032,0.5,1,0.0,0,0.0,0
R-HSA-164515,0.0,0,0.0,0,0.0,0
R-HSA-165182,0.25,1,0.25,1,0.0,0
R-HSA-1655852,0.0,0,0.0,0,0.0,0
R-HSA-166542,0.0,0,0.0,0,0.0,0
R-HSA-167118,0.0,0,0.0,0,0.0,0
R-HSA-167429,0.0,0,0.1111111111111111,1,0.0,0
R-HSA-1675974,1.0,2,1.0,2,0.0,0
R-HSA-167630,0.0,0,0.0,0,0.0,0
R-HSA-168136,1.0,2,1.0,2,0.5,1
