reaction_id,overall_two,numCorrect_two,overall_one,numCorrect_one,overall_zero,numCorrect_zero
R-HSA-981832,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-5675198,0.5,1,0.5,1,0.5,1
R-HSA-4088264,1.0,8,1.0,8,1.0,8
R-HSA-8863914,1.0,6,1.0,6,1.0,6
R-HSA-1183003,1.0,1,1.0,1,1.0,1
R-HSA-3240783,1.0,1,1.0,1,1.0,1
R-HSA-379387,0.0,0,0.0,0,0.0,0
R-HSA-983696,1.0,68,1.0,68,1.0,68
R-HSA-9011961,1.0,1,1.0,1,1.0,1
R-HSA-6790906,0.5,1,0.5,1,0.5,1
R-HSA-8864029,0.5,2,0.5,2,0.5,2
R-HSA-5686410,0.8108108108108109,30,0.8108108108108109,30,0.8108108108108109,30
R-HSA-9010523,1.0,1,1.0,1,1.0,1
R-HSA-5661517,0.8,4,0.8,4,0.8,4
R-HSA-1912416,1.0,1,1.0,1,1.0,1
R-HSA-9765850,0.8,4,0.8,4,0.8,4
R-HSA-5578966,1.0,3,1.0,3,1.0,3
R-HSA-8983519,0.8,4,0.8,4,0.8,4
R-HSA-2161701,0.0,0,0.0,0,0.0,0
R-HSA-9733705,1.0,1,1.0,1,1.0,1
R-HSA-8874186,1.0,1,1.0,1,1.0,1
R-HSA-445076,0.5,2,0.5,2,0.5,2
R-HSA-70666,0.0,0,0.0,0,0.0,0
R-HSA-9022359,0.8,4,0.8,4,0.8,4
R-HSA-9656213,1.0,5,1.0,5,1.0,5
R-HSA-8937118,0.9,9,0.9,9,0.9,9
R-HSA-9694581,0.625,5,0.625,5,0.625,5
R-HSA-879594,1.0,1,1.0,1,1.0,1
R-HSA-195287,0.625,5,0.625,5,0.625,5
R-HSA-8855648,0.8,4,0.8,4,0.8,4
R-HSA-193656,0.75,3,0.75,3,0.75,3
R-HSA-111439,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,5
R-HSA-5654646,0.9090909090909091,10,0.9090909090909091,10,0.9090909090909091,10
R-HSA-8964531,1.0,1,1.0,1,1.0,1
R-HSA-165027,1.0,2,1.0,2,1.0,2
R-HSA-2730882,0.75,3,0.75,3,0.75,3
R-HSA-6788855,0.0,0,0.0,0,0.0,0
R-HSA-9854906,1.0,1,1.0,1,1.0,1
R-HSA-9756574,1.0,8,1.0,8,1.0,8
R-HSA-2466068,0.7272727272727273,8,0.7272727272727273,8,0.7272727272727273,8
R-HSA-8944220,0.5,1,0.5,1,0.5,1
R-HSA-8868659,0.989010989010989,90,0.989010989010989,90,0.989010989010989,90
R-HSA-5628871,0.4,2,0.4,2,0.4,2
R-HSA-6805740,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1
R-HSA-109527,1.0,13,1.0,13,1.0,13
R-HSA-2316347,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,5
R-HSA-392751,1.0,9,1.0,9,1.0,9
R-HSA-5662608,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9647980,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9736953,1.0,1,1.0,1,1.0,1
R-HSA-8948230,1.0,3,1.0,3,1.0,3
R-HSA-9622831,1.0,19,1.0,19,1.0,19
R-HSA-432897,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9615571,1.0,1,1.0,1,1.0,1
R-HSA-1989767,1.0,1,1.0,1,1.0,1
R-HSA-5649726,0.8,4,0.8,4,0.8,4
R-HSA-5654692,0.0,0,0.0,0,0.0,0
R-HSA-5688276,0.5,1,0.5,1,0.5,1
R-HSA-517536,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-8981534,0.75,3,0.75,3,0.75,3
R-HSA-388560,1.0,6,1.0,6,1.0,6
R-HSA-2900743,0.5,1,0.5,1,0.5,1
R-HSA-193997,0.0,0,0.0,0,0.0,0
R-HSA-3857308,0.8,4,0.8,4,0.8,4
R-HSA-9754929,1.0,2,1.0,2,1.0,2
R-HSA-8848713,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9020264,0.0,0,0.0,0,0.0,0
R-HSA-8854908,0.9090909090909091,10,0.9090909090909091,10,0.9090909090909091,10
R-HSA-201453,1.0,12,1.0,12,1.0,12
R-HSA-1458875,0.8571428571428571,6,0.8571428571428571,6,0.8571428571428571,6
R-HSA-9832951,1.0,1,1.0,1,1.0,1
R-HSA-1602368,0.0,0,0.0,0,0.0,0
R-HSA-167153,1.0,28,1.0,28,1.0,28
R-HSA-6807866,0.8,4,0.8,4,0.8,4
R-HSA-5649854,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9768925,1.0,1,1.0,1,1.0,1
R-HSA-2201341,1.0,1,1.0,1,1.0,1
R-HSA-391375,1.0,6,1.0,6,1.0,6
R-HSA-9029155,0.9,9,0.9,9,0.9,9
R-HSA-5419279,0.945054945054945,86,0.945054945054945,86,0.945054945054945,86
R-HSA-391378,1.0,4,1.0,4,1.0,4
R-HSA-3209151,1.0,8,1.0,8,1.0,8
R-HSA-3249372,0.5,1,0.5,1,0.5,1
R-HSA-1168423,0.75,3,0.75,3,0.75,3
R-HSA-8944216,0.5,1,0.5,1,0.5,1
R-HSA-5690196,0.4,2,0.4,2,0.4,2
R-HSA-9693978,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9817330,0.8,4,0.8,4,0.8,4
R-HSA-6797913,0.0,0,0.0,0,0.0,0
R-HSA-2038387,0.0,0,0.0,0,0.0,0
R-HSA-174451,1.0,17,1.0,17,1.0,17
R-HSA-1433415,0.75,3,0.75,3,0.75,3
R-HSA-1247910,0.0,0,0.0,0,0.0,0
R-HSA-9732125,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-373339,0.75,3,0.75,3,0.75,3
R-HSA-9858923,1.0,1,1.0,1,1.0,1
R-HSA-9622668,1.0,2,1.0,2,1.0,2
R-HSA-6798748,1.0,103,1.0,103,1.0,103
R-HSA-379867,0.0,0,0.0,0,0.0,0
R-HSA-6787447,0.0,0,0.0,0,0.0,0
R-HSA-976743,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,4
R-HSA-9710914,1.0,2,1.0,2,1.0,2
R-HSA-196017,1.0,3,1.0,3,1.0,3
R-HSA-8983371,0.75,6,0.75,6,0.75,6
R-HSA-449715,0.0,0,0.0,0,0.0,0
R-HSA-5687107,1.0,3,1.0,3,1.0,3
R-HSA-9725030,0.5714285714285714,4,0.5714285714285714,4,0.5714285714285714,4
R-HSA-166792,0.0,0,0.0,0,0.0,0
R-HSA-6803388,1.0,1,1.0,1,1.0,1
R-HSA-9857365,1.0,1,1.0,1,1.0,1
R-HSA-5693390,0.0,0,0.0,0,0.0,0
R-HSA-8849082,0.4,2,0.4,2,0.4,2
R-HSA-9665032,0.6,3,0.6,3,0.6,3
R-HSA-3371531,0.5,1,0.5,1,0.5,1
R-HSA-9014343,0.8571428571428571,6,0.8571428571428571,6,0.8571428571428571,6
R-HSA-5687664,1.0,7,1.0,7,1.0,7
R-HSA-209566,0.6,3,0.6,3,0.6,3
R-HSA-984821,0.5,1,0.5,1,0.5,1
R-HSA-6814124,0.9333333333333333,14,0.9333333333333333,14,0.9333333333333333,14
R-HSA-380930,0.8888888888888888,8,0.8888888888888888,8,0.8888888888888888,8
R-HSA-6814670,0.8,8,0.8,8,0.8,8
R-HSA-9762102,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9015111,1.0,3,1.0,3,1.0,3
R-HSA-9911215,0.0,0,0.0,0,0.0,0
R-HSA-70286,0.0,0,0.0,0,0.0,0
R-HSA-162914,0.5,1,0.5,1,0.5,1
R-HSA-9729481,0.75,3,0.75,3,0.75,3
R-HSA-9617683,0.75,3,0.75,3,0.75,3
R-HSA-508451,1.0,3,1.0,3,1.0,3
R-HSA-9754130,0.8,4,0.8,4,0.8,4
R-HSA-3928583,0.6666666666666666,6,0.6666666666666666,6,0.6666666666666666,6
R-HSA-9694364,0.5,1,0.5,1,0.5,1
R-HSA-6785087,0.8,4,0.8,4,0.8,4
R-HSA-3787997,0.75,3,0.75,3,0.75,3
R-HSA-442314,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,5
R-HSA-1989754,1.0,1,1.0,1,1.0,1
R-HSA-197198,0.0,0,0.0,0,0.0,0
R-HSA-74177,1.0,2,1.0,2,1.0,2
R-HSA-4332236,1.0,3,1.0,3,1.0,3
R-HSA-6797267,1.0,1,1.0,1,1.0,1
R-HSA-1592371,1.0,1,1.0,1,1.0,1
R-HSA-8938382,1.0,1,1.0,1,1.0,1
R-HSA-984671,0.75,3,0.75,3,0.75,3
R-HSA-9022365,1.0,1,1.0,1,1.0,1
R-HSA-6799409,0.42857142857142855,3,0.42857142857142855,3,0.42857142857142855,3
R-HSA-2730889,1.0,14,1.0,14,1.0,14
R-HSA-8857928,0.75,3,0.75,3,0.75,3
R-HSA-6797627,0.0,0,0.0,0,0.0,0
R-HSA-8853920,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9645524,0.75,3,0.75,3,0.75,3
R-HSA-9836617,0.5,1,0.5,1,0.5,1
R-HSA-9735497,0.75,3,0.75,3,0.75,3
R-HSA-2408507,0.0,0,0.0,0,0.0,0
R-HSA-4546386,0.5,1,0.5,1,0.5,1
R-HSA-5678315,0.8888888888888888,8,0.8888888888888888,8,0.8888888888888888,8
R-HSA-9632858,0.8,4,0.8,4,0.8,4
R-HSA-9701485,0.5,1,0.5,1,0.5,1
R-HSA-202724,1.0,6,1.0,6,1.0,6
R-HSA-9023884,0.8888888888888888,8,0.8888888888888888,8,0.8888888888888888,8
R-HSA-114689,0.0,0,0.0,0,0.0,0
R-HSA-391935,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9011958,1.0,9,1.0,9,1.0,9
R-HSA-5682586,1.0,17,1.0,17,1.0,17
R-HSA-5637808,0.8,4,0.8,4,0.8,4
R-HSA-9693324,0.5,1,0.5,1,0.5,1
R-HSA-1169406,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,4
R-HSA-4085318,0.5,1,0.5,1,0.5,1
R-HSA-9816276,1.0,2,1.0,2,1.0,2
R-HSA-9690414,0.75,3,0.75,3,0.75,3
R-HSA-9683669,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-8848250,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-8864307,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-5228578,1.0,1,1.0,1,1.0,1
R-HSA-5694527,0.8571428571428571,24,0.8571428571428571,24,0.8571428571428571,24
R-HSA-3239019,0.8,4,0.8,4,0.8,4
R-HSA-2484965,0.75,3,0.75,3,0.75,3
R-HSA-9706287,0.75,3,0.75,3,0.75,3
R-HSA-5323526,0.75,3,0.75,3,0.75,3
R-HSA-4084984,0.5,1,0.5,1,0.5,1
R-HSA-9617927,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-9636296,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1
R-HSA-6814674,0.9285714285714286,13,0.9285714285714286,13,0.9285714285714286,13
R-HSA-5607745,0.5,1,0.5,1,0.5,1
R-HSA-8849906,0.9,9,0.9,9,0.9,9
R-HSA-5220952,0.0,0,0.0,0,0.0,0
R-HSA-1482636,0.5,1,0.5,1,0.5,1
R-HSA-8850356,1.0,25,1.0,25,1.0,25
R-HSA-1799329,1.0,83,1.0,83,1.0,83
R-HSA-9932443,0.8571428571428571,6,0.8571428571428571,6,0.8571428571428571,6
R-HSA-9665696,1.0,5,1.0,5,1.0,5
R-HSA-6814778,0.0,0,0.0,0,0.0,0
R-HSA-4088024,0.5,1,0.5,1,0.5,1
R-HSA-9645134,1.0,8,1.0,8,1.0,8
R-HSA-9764932,0.5833333333333334,7,0.5833333333333334,7,0.5833333333333334,7
R-HSA-5654614,1.0,19,1.0,19,1.0,19
R-HSA-2466367,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,5
R-HSA-9935469,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,5
R-HSA-170977,0.5,2,0.5,2,0.5,2
R-HSA-9674131,0.75,3,0.75,3,0.75,3
R-HSA-418866,0.75,3,0.75,3,0.75,3
R-HSA-8940070,0.0,0,0.0,0,0.0,0
R-HSA-9913339,0.9333333333333333,14,0.9333333333333333,14,0.9333333333333333,14
R-HSA-9603445,0.0,0,0.0,0,0.0,0
R-HSA-8868118,0.25,1,0.25,1,0.25,1
R-HSA-209828,0.0,0,0.0,0,0.0,0
R-HSA-419843,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-2426530,1.0,13,1.0,13,1.0,13
