reaction_id,prompt,answer,generated
R-HSA-109530,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: SLC28A1 [plasma membrane] (UniProt: O00337)
Reactants: ligands of SLC28A1 [extracellular region] (complex of dA [extracellular region] (ChEBI: 17256), Ade-Rib [extracellular region] (ChEBI: 16335), Cyt-Rib [extracellular region] (ChEBI: 17562), Thy-dRib [extracellular region] (ChEBI: 17748), Ura-Rib [extracellular region] (ChEBI: 16704)), Na+ [extracellular region] (ChEBI: 29101)
Products: ","ligands of SLC28A1 [cytosol] (complex of dA [cytosol] (ChEBI: 17256), Ade-Rib [cytosol] (ChEBI: 16335), Cyt-Rib [cytosol] (ChEBI: 17562), Thy-dRib [cytosol] (ChEBI: 17748), Ura-Rib [cytosol] (ChEBI: 16704)), Na+ [cytosol] (ChEBI: 29101)",
R-HSA-111285,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: PPAT dimer [cytosol] (complex of PPAT [cytosol] (UniProt: Q06203), Fe2+ [cytosol] (ChEBI: 29033), S [cytosol] (ChEBI: 17909))
Products: ","PPAT tetramer [cytosol] (complex of PPAT [cytosol] (UniProt: Q06203), Fe2+ [cytosol] (ChEBI: 29033), S [cytosol] (ChEBI: 17909))",
R-HSA-1222690,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: DlaT [cytosol] (UniProt: P9WIS7)
Reactants: AhpD(ox.) [cytosol] (UniProt: P9WQB5), DlaT [cytosol] (UniProt: P9WIS7)
Products: ","AhpD [cytosol] (UniProt: P9WQB5), DlaT(ox.) [cytosol] (UniProt: P9WIS7)",
R-HSA-1475414,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: p-SPR dimer [cytosol] (complex of p-S213-SPR [cytosol] (UniProt: P35270))
Reactants: PTHP [cytosol] (ChEBI: 17804), NADPH [cytosol] (ChEBI: 57783)
Products: ","BH4 [cytosol] (ChEBI: 59560), NADP+ [cytosol] (ChEBI: 58349)",
R-HSA-1606839,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: active STS dimer [endoplasmic reticulum membrane] (complex of OxA-STS [endoplasmic reticulum membrane] (UniProt: P08842), Ca2+ [endoplasmic reticulum membrane] (ChEBI: 29108))
Reactants: H2O [endoplasmic reticulum lumen] (ChEBI: 15377), steroid sulfate [endoplasmic reticulum lumen] (ChEBI: 59696)
Products: ","SO4(2-) [endoplasmic reticulum lumen] (ChEBI: 16189), steroid [endoplasmic reticulum lumen] (ChEBI: 35341)",
R-HSA-162821,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: PIGB [endoplasmic reticulum membrane] (UniProt: Q92521)
Reactants: DOLP-Man [lumenal side of endoplasmic reticulum membrane] (ChEBI: 58211), mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI [lumenal side of endoplasmic reticulum membrane] (ChEBI: 53058)
Products: ","mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI [lumenal side of endoplasmic reticulum membrane] (ChEBI: 53059), dolichyl phosphate [endoplasmic reticulum membrane] (ChEBI: 57683)",
R-HSA-1638032,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: GNS:Ca2+ [lysosomal lumen] (complex of OxA-GNS [lysosomal lumen] (UniProt: P15586), Ca2+ [lysosomal lumen] (ChEBI: 29108))
Reactants: H2O [lysosomal lumen] (ChEBI: 15377), GlcNAc(S)-Gal-GlcNAc(S)-Gal [lysosomal lumen] (ChEBI: 63851)
Products: ","SO4(2-) [lysosomal lumen] (ChEBI: 16189), GlcNAc-Gal-GlcNAc(S)-Gal [lysosomal lumen] (ChEBI: 63852)",
R-HSA-1655852,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: N/A
Reactants: SC5DL gene [nucleoplasm] (ENSEMBL: ENSG00000109929)
Products: ",SC5D [endoplasmic reticulum membrane] (UniProt: O75845),
R-HSA-169270,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: ETFDH [mitochondrial inner membrane] (UniProt: Q16134)
Reactants: ETF:FADH2 [mitochondrial matrix] (complex of ETFA(1-?) [mitochondrial matrix] (UniProt: P13804), ETFB [mitochondrial matrix] (UniProt: P38117), AMP [mitochondrial matrix] (ChEBI: 456215), FADH2 [mitochondrial matrix] (ChEBI: 58307)), CoQ [mitochondrial inner membrane] (ChEBI: 46245)
Products: ","ETF:FAD [mitochondrial matrix] (complex of ETFA(1-?) [mitochondrial matrix] (UniProt: P13804), ETFB [mitochondrial matrix] (UniProt: P38117), FAD [mitochondrial matrix] (ChEBI: 57692), AMP [mitochondrial matrix] (ChEBI: 456215)), H+ [mitochondrial matrix] (ChEBI: 15378), CoQH2 [mitochondrial inner membrane] (ChEBI: 64183)",
R-HSA-174967,"You are an expert on chemistry and biology. Complete the following reactions with their products. Do not repeat the question, provide only the answer in a brief manner. nEnzyme: AcC-NAT2 [cytosol] (UniProt: P11245)
Reactants: NAT2 substrate [cytosol] (complex of Paraxanthine [cytosol] (ChEBI: 25858), ISNZ [cytosol] (ChEBI: 6030), NHABP [cytosol] (ChEBI: 16580)), AcC-NAT2 [cytosol] (UniProt: P11245)
Products: ","NAT2 acetylated conjugate [cytosol] (complex of AFMU [cytosol] (ChEBI: 32643), NAcISNZ [cytosol] (ChEBI: 7207), N-hydroxy-4-aminobiphenyl O-acetylated conjugate [cytosol] (ChEBI: 16395)), NAT2 [cytosol] (UniProt: P11245)",
